,id,title,artist,danceability,energy,key,loudness,modal,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sentiments,no_of_tags
90,4x1Is2FcqPkNEyOdzo0PkX,"Cisza, ja i czas",Hey,0.6,0.837,0,-5.847,1,0.00348,0.0236,0.159,0.664,131.986,202760,4,positive,1
91,48wtJb8w1yNSLBVy5q9Wos,Talk To Her,India.Arie,0.814,0.474,1,-9.608,1,0.272,0.0,0.0763,0.821,148.045,310787,4,positive,4
92,0O2bfDHoZtL96zHM9Eijaz,Космонавт,Lumen,0.359,0.826,2,-5.766,1,0.00361,0.0,0.275,0.413,145.74,177653,4,positive,1
93,6DuLN8tFW0DkH9wsbTHZsX,Red Rubber Ball,The Cyrkle,0.644,0.459,9,-11.702,1,0.657,0.0,0.0876,0.852,92.801,137493,4,positive,5
94,5FS53G6Xg3km6RKqxTKdge,A Change is Gonna Come,Ben Sollee,0.737,0.507,9,-10.249,1,0.315,4.21e-06,0.0644,0.835,97.015,217253,4,positive,3
95,6ZpYLIYdXxLLiA4oZjxVjp,Guns (Are for Pussies),311,0.663,0.903,7,-6.676,1,0.0153,0.0,0.202,0.599,100.862,136933,4,positive,1
96,6RCrMzTiVXHYmKxOMS4jJN,King of the Road,The Proclaimers,0.537,0.401,11,-9.315,1,0.449,0.0,0.176,0.864,129.848,239907,4,positive,2
97,6G4opYs5nlwTCd1ABGI2cn,There Is A Way,Mos Def,0.663,0.819,10,-6.789,0,0.162,0.0,0.141,0.752,97.004,207387,4,positive,3
98,7w6ZwvpFE79Ttr9a61Nswd,Disco Biscuit Love,The Jezabels,0.526,0.934,10,-6.466,1,0.184,3.81e-05,0.11,0.2,134.976,262040,4,positive,2
99,34Nz5FcSTrImFGAtGEhBji,Raquel,Neon Neon,0.721,0.971,1,-6.197,1,0.117,0.33,0.102,0.907,119.964,301573,4,positive,2
100,3a9JiXDZITABxdBr9JUwle,Within A Mile Of Home (Live),Flogging Molly,0.393,0.988,9,-3.682,0,0.000571,0.606,0.774,0.444,110.958,274267,4,positive,1
101,3qF5yFvHkaJD6d4orEzlzw,Kom ihåg mig,Lars Winnerbäck,0.407,0.884,0,-3.388,1,0.0442,0.0,0.0897,0.715,153.508,225093,4,positive,1
102,7Izrps5vrCDIhwPTDrttaI,The One,India.Arie,0.761,0.504,11,-6.575,1,0.0473,3.59e-06,0.127,0.613,87.01,235987,4,positive,4
103,3Q1Bw9WqRUcYD377VWL5nK,Head Over Heels,New Found Glory,0.553,0.897,5,-4.205,1,0.021,3.84e-05,0.0938,0.782,112.026,209827,4,positive,1
104,1S27YnqoB8VygeNWj2yOa2,We Must Go On,Pretty Lights,0.64,0.775,9,-6.853,1,0.0391,0.0327,0.19,0.655,89.972,344000,4,positive,1
105,58m9LH2EpkEIxjpwqhQlEg,Bottled In Cork,Ted Leo and the Pharmacists,0.575,0.895,0,-4.07,1,0.012,0.0,0.235,0.778,143.091,198173,4,positive,1
106,1IqrCzyf2sr6TpTeIxJ6b8,Rock Star,Prima J,0.662,0.792,3,-4.3,0,0.0239,0.0,0.411,0.807,72.994,216427,4,positive,4
107,1kraQ2zmYE3HT3XR9zWTiy,Antabus,Makthaverskan,0.167,0.838,2,-5.359,1,0.0207,0.00625,0.44,0.231,171.69,198360,4,positive,1
108,6GwnZDIsmSIHkct1msrg88,Reconsider Everything,311,0.453,0.926,7,-5.627,1,0.000162,0.000293,0.256,0.397,192.563,168333,4,positive,2
109,1AOZ7vnaMCy9yx59xiE04f,Bike Test 1 2 3,Bomb the Music Industry!,0.385,0.943,2,-4.459,1,0.022,0.0,0.396,0.123,120.165,157560,4,positive,1
110,6G9walQHXixzCqaYc9aKpN,Dobrze Jest,Mikromusic,0.56,0.516,1,-10.722,0,0.768,5.91e-05,0.863,0.48,96.924,202093,4,positive,6
111,1mJ8vDZEzc5AxGeMmfeSPp,Cha Cha,Chelo,0.653,0.277,9,-8.941,1,0.337,0.0,0.0394,0.685,93.603,213682,3,positive,4
112,6Qdwjaq2nQLHX8gST88Nih,Always Worth It,Sarah Blasko,0.462,0.723,1,-5.953,0,0.00386,0.000424,0.231,0.345,135.051,225933,4,positive,2
113,6zGtMWfVeLUuwgknjO6ibH,Lil' Lil',Black Eyed Peas,0.907,0.626,1,-5.47,0,0.0233,0.000558,0.0759,0.814,124.014,224440,4,positive,1
114,0GNRMmcphCaT08UNHWPkQ4,Stand by Me,Playing For Change,0.849,0.46,0,-9.02,1,0.665,0.00212,0.212,0.582,111.47,310613,4,positive,13
115,2WBTQ0HBgJiN8e5Dr03YU3,Asleep,Makthaverskan,0.316,0.797,9,-5.59,1,0.0067,0.0372,0.0775,0.723,172.645,244507,4,positive,1
116,7EbF4gSZiu6G6NDx5pHStP,Morning Sun,The Beautiful Girls,0.519,0.728,5,-7.16,0,0.0162,0.00117,0.168,0.692,99.803,295267,4,positive,3
117,4OCwbVkarjtTqkYZUP10lQ,Make Some Noise,Hannah Montana,0.5,0.723,7,-4.33,1,0.00197,0.0,0.0661,0.369,155.848,287627,3,positive,1
118,6uK7UMkvvkESRM6NU2IbS1,This Is The First Night,Anti-Flag,0.345,0.931,11,-4.799,1,0.00277,6.62e-06,0.0974,0.394,118.058,213400,4,positive,1
119,2feih4bLLy9XeVTG8SfEJo,René bouteille,La Tordue,0.837,0.646,5,-8.65,0,0.907,0.000108,0.11,0.816,145.935,190960,4,positive,1
120,4epPzyyNdGrAk7lmHohSsM,Slow Slow (Run Run),Ayọ,0.631,0.606,7,-7.234,0,0.625,0.0001,0.375,0.915,171.856,209253,4,positive,2
121,5m2KEaQbDf3OQRiuGG9YtJ,Wake Your Mind Up,311,0.711,0.893,1,-5.279,1,0.00172,0.0,0.0658,0.577,111.953,190373,4,positive,1
122,4fupWy6EgMEsEGFXh7vCc9,If I Could Teach the World,Bone Thugs-N-Harmony,0.71,0.441,4,-10.116,1,0.191,0.0,0.0905,0.537,80.024,264227,4,positive,2
123,0REWQHsbEBx5tboIY29qPY,This Piece Of Poetry Is Meant To Do Harm,The Ark,0.804,0.449,0,-7.606,1,0.0454,0.0,0.189,0.702,129.978,208973,4,positive,4
124,3VGnzpGm2zYF3qrYdphDcn,Pretty Green Eyes (Radio Edit),Ultrabeat,0.57,0.917,1,-7.827,0,0.0667,1.93e-05,0.113,0.544,139.989,180013,4,positive,6
125,0tvJekwKhr6XLlpo09uCEw,Pieter,Ignite,0.439,0.976,0,-3.209,1,0.00568,0.000176,0.163,0.414,96.408,198293,4,positive,2
126,7A9a7cUjgacNgOkhVg5SpL,Weightless,Natasha Bedingfield,0.724,0.873,10,-4.593,1,0.0629,0.0,0.104,0.648,119.991,235173,4,positive,2
127,2hIiQV8VG5TnfOdfBB7ovF,Stealing Happy Hours,311,0.67,0.761,11,-10.879,0,0.109,0.00761,0.102,0.0936,95.846,350307,4,positive,4
128,5aX8UwzxHFa6OIqUlOQq4e,Ты не один,Brainstorm,0.569,0.955,1,-5.431,0,0.00151,1.53e-05,0.0902,0.598,118.026,284880,4,positive,1
129,2Q9KP2Fs7zZuXpHcrqOSao,Kulcikriu,Kult,0.289,0.773,0,-11.548,1,0.291,0.0,0.149,0.242,90.925,199133,4,positive,1
130,0YvvSz15Wnc6PmHYy0KcEf,Strong All Along,311,0.763,0.846,0,-6.177,1,0.0424,0.0,0.0718,0.943,94.856,208307,4,positive,3
131,33IsnsNLlgIhJMxw95UG6F,Blue Sky,Fluke,0.527,0.69,6,-9.225,0,0.291,0.038,0.0851,0.473,87.004,348920,4,positive,4
132,4Yoj6vSt6mgBbrdadbM23a,Byrd Joel,Red House Painters,0.579,0.872,3,-6.184,1,0.224,0.000645,0.172,0.712,109.942,385880,4,positive,2
133,4xXGFQfp5aOSjI32rqxKsC,Delikatessen,Kaizers Orchestra,0.511,0.978,9,-3.298,0,0.127,0.00104,0.965,0.653,107.018,186107,4,positive,3
